ObjectId,Crash_Seve,Crash_Date,Crash_Year,Crash_Time,Weather,Fatalities,Injured,Property_D,Injury_Typ,Crash_Type,Total_Vehi,Agency,Accident_R,Pedalcycli,Pedestrian,Motorcycli,SQ_MILES
5638153,PROPERTY DAMAGE ONLY,2015/02/03 00:00:00+00,2015,2026/08/30 19:00:00+00,CLEAR,0,0,PDO,,NON-COLLISION,1,LVMPD,2074698,,,,29.22856507
5638154,INJURY CRASH,2015/01/06 00:00:00+00,2015,2026/08/30 09:52:00+00,CLEAR,0,2,,C,ANGLE,2,LVMPD,2073806,,,,11.5248706
5638155,INJURY CRASH,2015/03/24 00:00:00+00,2015,2026/08/30 10:56:00+00,CLEAR,0,1,,C,ANGLE,2,LVMPD,2132710,,,,19.86803553
5638156,INJURY CRASH,2015/01/22 00:00:00+00,2015,2026/08/30 13:41:00+00,CLEAR,0,1,,B,ANGLE,2,LVMPD,2074321,,,,17.10932924
5638157,INJURY CRASH,2015/01/08 00:00:00+00,2015,2026/08/30 10:01:00+00,CLEAR,0,1,,C,ANGLE,2,LVMPD,2073885,,,,14.22795101
5638158,INJURY CRASH,2015/01/26 00:00:00+00,2015,2026/08/30 23:12:00+00,CLOUDY: RAIN,0,2,,B,ANGLE,2,LVMPD,2074475,,,,14.22795101
5638159,INJURY CRASH,2015/02/08 00:00:00+00,2015,2026/08/30 17:36:00+00,CLEAR,0,1,,U,NON-COLLISION,1,LVMPD,2122131,,,,11.5248706
5638160,INJURY CRASH,2015/04/12 00:00:00+00,2015,2026/08/30 16:44:00+00,CLEAR,0,1,,C,REAR-END,2,LVMPD,2133384,,,,14.22795101
5638161,INJURY CRASH,2015/01/28 00:00:00+00,2015,2026/08/30 16:34:00+00,CLOUDY,0,2,,B,HEAD-ON,2,LVMPD,2074524,,,,11.5248706
5638162,INJURY CRASH,2015/05/06 00:00:00+00,2015,2026/08/30 01:19:00+00,CLOUDY,0,1,,B,NON-COLLISION,1,LVMPD,2134175,,YES,,14.22795101
5638163,INJURY CRASH,2015/05/03 00:00:00+00,2015,2026/08/30 14:51:00+00,CLEAR,0,1,,A,SIDESWIPE OVERTAKING,3,LVMPD,2134092,,,,11.5248706
5638164,PROPERTY DAMAGE ONLY,2015/04/10 00:00:00+00,2015,2026/08/30 10:54:00+00,CLEAR,0,0,PDO,,ANGLE,4,LVMPD,2133301,,,,17.10932924
5638165,INJURY CRASH,2015/04/13 00:00:00+00,2015,2026/08/30 17:07:00+00,CLEAR,0,1,,C,REAR-END,2,LVMPD,2133422,,,,14.22795101
5638166,INJURY CRASH,2015/07/16 00:00:00+00,2015,2026/08/30 07:54:00+00,CLEAR,0,2,,C,REAR-END,3,LVMPD,2154690,,,,17.10932924
5638167,INJURY CRASH,2015/05/02 00:00:00+00,2015,2026/08/30 11:30:00+00,CLEAR,0,2,,B,REAR-END,2,LVMPD,2134038,,,,17.10932924
5638168,INJURY CRASH,2015/03/29 00:00:00+00,2015,2026/08/30 12:08:00+00,CLEAR,0,1,,C,ANGLE,2,LVMPD,2132903,,,,17.10932924
5638169,INJURY CRASH,2015/03/29 00:00:00+00,2015,2026/08/30 16:45:00+00,CLEAR,0,1,,B,NON-COLLISION,1,LVMPD,2132906,,YES,,19.86803553
5638170,INJURY CRASH,2015/02/11 00:00:00+00,2015,2026/08/30 08:43:00+00,CLEAR,0,1,,U,NON-COLLISION,1,LVMPD,2122200,,,,14.22795101
5638171,INJURY CRASH,2015/04/10 00:00:00+00,2015,2026/08/30 11:30:00+00,CLEAR,0,1,,C,ANGLE,2,LVMPD,2133304,,,,17.10932924
5638172,INJURY CRASH,2015/03/24 00:00:00+00,2015,2026/08/30 15:03:00+00,CLEAR,0,1,,C,REAR-END,2,LVMPD,2132721,,,,19.86803553
5638173,PROPERTY DAMAGE ONLY,2015/05/04 00:00:00+00,2015,2026/08/30 18:47:00+00,CLEAR,0,0,PDO,,REAR-END,2,LVMPD,2134136,,,,11.5248706
5638174,PROPERTY DAMAGE ONLY,2015/06/25 00:00:00+00,2015,2026/08/30 13:02:00+00,CLEAR,0,0,PDO,,ANGLE,2,LVMPD,2154178,,,,29.22856507
5638175,INJURY CRASH,2015/06/18 00:00:00+00,2015,2026/08/30 11:50:00+00,CLEAR,0,2,,A,ANGLE,2,LVMPD,2154044,,,,11.5248706
5638176,PROPERTY DAMAGE ONLY,2015/05/22 00:00:00+00,2015,2026/08/30 13:48:00+00,CLOUDY,0,0,PDO,,REAR-END,2,NHP,2179230,,,,14.22795101
5638177,INJURY CRASH,2015/03/09 00:00:00+00,2015,2026/08/30 16:06:00+00,CLEAR,0,1,,B,NON-COLLISION,1,LVMPD,2132212,YES,,,17.10932924
5638178,PROPERTY DAMAGE ONLY,2015/03/05 00:00:00+00,2015,2026/08/30 18:07:00+00,CLEAR,0,0,PDO,,ANGLE,2,LVMPD,2132083,,,,11.5248706
5638179,INJURY CRASH,2015/07/21 00:00:00+00,2015,2026/08/30 05:15:00+00,CLEAR,0,1,,A,NON-COLLISION,1,LVMPD,2154822,,YES,,19.86803553
5638180,PROPERTY DAMAGE ONLY,2015/03/12 00:00:00+00,2015,2026/08/30 15:16:00+00,CLEAR,0,0,PDO,,SIDESWIPE OVERTAKING,2,LVMPD,2132310,,,,11.5248706
5638181,INJURY CRASH,2015/01/14 00:00:00+00,2015,2026/08/30 20:00:00+00,CLEAR,0,2,,C,NON-COLLISION,4,NHP,2173112,,,,11.5248706
5638182,PROPERTY DAMAGE ONLY,2015/05/18 00:00:00+00,2015,2026/08/30 11:18:00+00,RAIN,0,0,PDO,,NON-COLLISION,1,NHP,2178994,,,,29.22856507
5638183,INJURY CRASH,2015/05/31 00:00:00+00,2015,2026/08/30 22:21:00+00,CLEAR,0,1,,B,ANGLE,2,LVMPD,2153975,,,,29.22856507
5638184,PROPERTY DAMAGE ONLY,2015/06/04 00:00:00+00,2015,2026/08/30 16:40:00+00,CLEAR,0,0,PDO,,REAR-END,2,NHP,2179821,,,,14.22795101
5638185,INJURY CRASH,2015/02/24 00:00:00+00,2015,2026/08/30 12:30:00+00,CLEAR,0,3,,C,ANGLE,2,LVMPD,2131738,,,,11.5248706
5638186,INJURY CRASH,2015/03/04 00:00:00+00,2015,2026/08/30 13:05:00+00,CLEAR,0,2,,C,REAR-END,2,LVMPD,2132037,,,,19.86803553
5638187,INJURY CRASH,2015/05/05 00:00:00+00,2015,2026/08/30 09:00:00+00,CLEAR,0,1,,C,SIDESWIPE OVERTAKING,3,NHP,2178383,,,,11.5248706
5638188,INJURY CRASH,2015/02/27 00:00:00+00,2015,2026/08/30 07:20:00+00,CLEAR,0,1,,C,REAR-END,2,NHP,2175131,,,,17.10932924
5638189,PROPERTY DAMAGE ONLY,2015/07/28 00:00:00+00,2015,2026/08/30 08:29:00+00,CLEAR,0,0,PDO,,REAR-END,3,NHP,2182473,,,,11.5248706
5638190,INJURY CRASH,2015/04/27 00:00:00+00,2015,2026/08/30 18:37:00+00,CLEAR,0,1,,C,SIDESWIPE MEETING,2,NHP,2178002,,,,17.10932924
5638191,PROPERTY DAMAGE ONLY,2015/07/17 00:00:00+00,2015,2026/08/30 07:57:00+00,CLEAR,0,0,PDO,,REAR-END,2,NHP,2181998,,,,17.10932924
5638192,INJURY CRASH,2015/01/26 00:00:00+00,2015,2026/08/30 19:07:00+00,RAIN,0,1,,B,NON-COLLISION,1,LVMPD,2074467,,YES,,17.10932924
5638193,PROPERTY DAMAGE ONLY,2015/01/08 00:00:00+00,2015,2026/08/30 17:10:00+00,CLEAR,0,0,PDO,,REAR-END,2,LVMPD,2073900,,,,11.5248706
5638194,INJURY CRASH,2015/01/23 00:00:00+00,2015,2026/08/30 21:19:00+00,CLEAR,0,1,,C,SIDESWIPE OVERTAKING,3,LVMPD,2074380,,,,29.22856507
5638195,INJURY CRASH,2015/01/23 00:00:00+00,2015,2026/08/30 16:23:00+00,CLEAR,0,1,,C,NON-COLLISION,1,LVMPD,2074366,,YES,,11.5248706
5638196,INJURY CRASH,2015/01/30 00:00:00+00,2015,2026/08/30 13:42:00+00,CLOUDY: RAIN,0,2,,C,REAR-END,2,LVMPD,2074580,,,,17.10932924
5638197,INJURY CRASH,2015/01/21 00:00:00+00,2015,2026/08/30 17:37:00+00,CLEAR,0,1,,C,REAR-END,2,LVMPD,2074291,,,,11.5248706
